a a l e n d	VERB type=participle tense=present
e n t s c h i e d e t	VERB person=2nd number=plural tense=past mood=indicative ; VERB person=2nd number=plural tense=past mood=subjunctive
e n t s c h i e d e	VERB person=1st number=singular tense=past mood=subjunctive ; VERB person=3rd number=singular tense=past mood=subjunctive
e n t s c h i e d	VERB person=1st number=singular tense=past mood=indicative ; VERB person=3rd number=singular tense=past mood=indicative
e n t s c h l i e ß e n d	VERB type=participle tense=present
e n t s c h l i e ß e n	VERB type=infinitive ; VERB person=1st number=plural tense=present mood=indicative ; VERB person=3rd number=plural tense=present mood=indicative ; VERB person=1st number=plural tense=present mood=subjunctive ; VERB person=3rd number=plural tense=present mood=subjunctive
e n t s c h l i e ß e s t	VERB person=2nd number=singular tense=present mood=subjunctive
e n t s c h l i e ß e t	VERB person=2nd number=plural tense=present mood=subjunctive
e n t s c h l i e ß e	VERB person=1st number=singular tense=present mood=indicative ; VERB person=1st number=singular tense=present mood=subjunctive ; VERB person=3rd number=singular tense=present mood=subjunctive
e n t s c h l i e ß t	VERB person=2nd number=singular tense=present mood=indicative ; VERB person=3rd number=singular tense=present mood=indicative ; VERB person=2nd number=plural tense=present mood=indicative
e n t s c h l o e s s e n	VERB person=1st number=plural tense=past mood=subjunctive ; VERB person=3rd number=plural tense=past mood=subjunctive
e n t s c h l o s s e n	VERB type=participle tense=past ; VERB person=1st number=plural tense=past mood=indicative ; VERB person=3rd number=plural tense=past mood=indicative
e n t s c h l o e s s e s t	VERB person=2nd number=singular tense=past mood=subjunctive
e n t s c h l o e s s e t	VERB person=2nd number=plural tense=past mood=subjunctive
e n t s c h l o e s s e	VERB person=1st number=singular tense=past mood=subjunctive ; VERB person=3rd number=singular tense=past mood=subjunctive
e n t s c h l o s s t	VERB person=2nd number=singular tense=past mood=indicative ; VERB person=2nd number=plural tense=past mood=indicative
e n t s c h l o s s	VERB person=1st number=singular tense=past mood=indicative ; VERB person=3rd number=singular tense=past mood=indicative
e n t s c h l u e s s e l e s t	VERB person=2nd number=singular tense=present mood=subjunctive
e n t s c h l u e s s e l e t	VERB person=2nd number=plural tense=present mood=subjunctive
e n t s c h l u e s s e l e	VERB person=1st number=singular tense=present mood=subjunctive ; VERB person=3rd number=singular tense=present mood=subjunctive
e n t s c h l u e s s e l n d	VERB type=participle tense=present
e n t s c h l u e s s e l n	VERB type=infinitive ; VERB person=1st number=plural tense=present mood=indicative ; VERB person=3rd number=plural tense=present mood=indicative ; VERB person=1st number=plural tense=present mood=subjunctive ; VERB person=3rd number=plural tense=present mood=subjunctive
e n t s c h l u e s s e l s t	VERB person=2nd number=singular tense=present mood=indicative
e n t s c h l u e s s e l t e n	VERB person=1st number=plural tense=past mood=indicative ; VERB person=3rd number=plural tense=past mood=indicative ; VERB person=1st number=plural tense=past mood=subjunctive ; VERB person=3rd number=plural tense=past mood=subjunctive
e n t s c h l u e s s e l t e s t	VERB person=2nd number=singular tense=past mood=indicative ; VERB person=2nd number=singular tense=past mood=subjunctive
e n t s c h l u e s s e l t e t	VERB person=2nd number=plural tense=past mood=indicative ; VERB person=2nd number=plural tense=past mood=subjunctive
e n t s c h l u e s s e l t e	VERB person=1st number=singular tense=past mood=indicative ; VERB person=3rd number=singular tense=past mood=indicative ; VERB person=1st number=singular tense=past mood=subjunctive ; VERB person=3rd number=singular tense=past mood=subjunctive
e n t s c h l u e s s e l t	VERB type=participle tense=past ; VERB person=3rd number=singular tense=present mood=indicative ; VERB person=2nd number=plural tense=present mood=indicative
e n t s c h l u e s s e l u n g e n	NOUN case=nominative number=plural ; NOUN case=genitive number=plural ; NOUN case=dative number=plural ; NOUN case=accusative number=plural
e n t s c h l u e s s e l u n g	NOUN case=nominative number=singular ; NOUN case=genitive number=singular ; NOUN case=dative number=singular ; NOUN case=accusative number=singular
e n t s c h l u e s s l e	VERB person=1st number=singular tense=present mood=indicative
e n t s c h u l d i g e n d	VERB type=participle tense=present
e n t s c h u l d i g e n	VERB type=infinitive ; VERB person=1st number=plural tense=present mood=indicative ; VERB person=3rd number=plural tense=present mood=indicative ; VERB person=1st number=plural tense=present mood=subjunctive ; VERB person=3rd number=plural tense=present mood=subjunctive
e n t s c h u l d i g e s t	VERB person=2nd number=singular tense=present mood=subjunctive
e n t s c h u l d i g e t	VERB person=2nd number=plural tense=present mood=subjunctive
e n t s c h u l d i g e	VERB person=1st number=singular tense=present mood=indicative ; VERB person=1st number=singular tense=present mood=subjunctive ; VERB person=3rd number=singular tense=present mood=subjunctive
e n t s c h u l d i g s t	VERB person=2nd number=singular tense=present mood=indicative
e n t s c h u l d i g t e n	VERB person=1st number=plural tense=past mood=indicative ; VERB person=3rd number=plural tense=past mood=indicative ; VERB person=1st number=plural tense=past mood=subjunctive ; VERB person=3rd number=plural tense=past mood=subjunctive
e n t s c h u l d i g t e s t	VERB person=2nd number=singular tense=past mood=indicative ; VERB person=2nd number=singular tense=past mood=subjunctive
e n t s c h u l d i g t e t	VERB person=2nd number=plural tense=past mood=indicative ; VERB person=2nd number=plural tense=past mood=subjunctive
e n t s c h u l d i g t e	VERB person=1st number=singular tense=past mood=indicative ; VERB person=3rd number=singular tense=past mood=indicative ; VERB person=1st number=singular tense=past mood=subjunctive ; VERB person=3rd number=singular tense=past mood=subjunctive
e n t s c h u l d i g t	VERB type=participle tense=past ; VERB person=3rd number=singular tense=present mood=indicative ; VERB person=2nd number=plural tense=present mood=indicative
e n t s o r g e n d	VERB type=participle tense=present
e n t s o r g e n	VERB type=infinitive ; VERB person=1st number=plural tense=present mood=indicative ; VERB person=3rd number=plural tense=present mood=indicative ; VERB person=1st number=plural tense=present mood=subjunctive ; VERB person=3rd number=plural tense=present mood=subjunctive
e n t s o r g e s t	VERB person=2nd number=singular tense=present mood=subjunctive
e n t s o r g e t	VERB person=2nd number=plural tense=present mood=subjunctive
e n t s o r g e	VERB person=1st number=singular tense=present mood=indicative ; VERB person=1st number=singular tense=present mood=subjunctive ; VERB person=3rd number=singular tense=present mood=subjunctive
e n t s o r g s t	VERB person=2nd number=singular tense=present mood=indicative
e n t s o r g t e n	VERB person=1st number=plural tense=past mood=indicative ; VERB person=3rd number=plural tense=past mood=indicative ; VERB person=1st number=plural tense=past mood=subjunctive ; VERB person=3rd number=plural tense=past mood=subjunctive
e n t s o r g t e s t	VERB person=2nd number=singular tense=past mood=indicative ; VERB person=2nd number=singular tense=past mood=subjunctive
e n t s o r g t e t	VERB person=2nd number=plural tense=past mood=indicative ; VERB person=2nd number=plural tense=past mood=subjunctive
e n t s o r g t e	VERB person=1st number=singular tense=past mood=indicative ; VERB person=3rd number=singular tense=past mood=indicative ; VERB person=1st number=singular tense=past mood=subjunctive ; VERB person=3rd number=singular tense=past mood=subjunctive
e n t s o r g t	VERB type=participle tense=past ; VERB person=3rd number=singular tense=present mood=indicative ; VERB person=2nd number=plural tense=present mood=indicative
e n t s p a n n e n d	VERB type=participle tense=present
e n t s p a n n e n	VERB type=infinitive ; VERB person=1st number=plural tense=present mood=indicative ; VERB person=3rd number=plural tense=present mood=indicative ; VERB person=1st number=plural tense=present mood=subjunctive ; VERB person=3rd number=plural tense=present mood=subjunctive
e n t s p a n n e s t	VERB person=2nd number=singular tense=present mood=subjunctive
e n t s p a n n e t	VERB person=2nd number=plural tense=present mood=subjunctive
e n t s p a n n e	VERB person=1st number=singular tense=present mood=indicative ; VERB person=1st number=singular tense=present mood=subjunctive ; VERB person=3rd number=singular tense=present mood=subjunctive
e n t s p a n n s t	VERB person=2nd number=singular tense=present mood=indicative
e n t s p a n n t e n	VERB person=1st number=plural tense=past mood=indicative ; VERB person=3rd number=plural tense=past mood=indicative ; VERB person=1st number=plural tense=past mood=subjunctive ; VERB person=3rd number=plural tense=past mood=subjunctive
e n t s p a n n t e s t	VERB person=2nd number=singular tense=past mood=indicative ; VERB person=2nd number=singular tense=past mood=subjunctive
e n t s p a n n t e t	VERB person=2nd number=plural tense=past mood=indicative ; VERB person=2nd number=plural tense=past mood=subjunctive
e n t s p a n n t e	VERB person=1st number=singular tense=past mood=indicative ; VERB person=3rd number=singular tense=past mood=indicative ; VERB person=1st number=singular tense=past mood=subjunctive ; VERB person=3rd number=singular tense=past mood=subjunctive
e n t s p a n n t	VERB type=participle tense=past ; VERB person=3rd number=singular tense=present mood=indicative ; VERB person=2nd number=plural tense=present mood=indicative
e n t s p r a c h e n	VERB person=1st number=plural tense=past mood=indicative ; VERB person=3rd number=plural tense=past mood=indicative
e n t s p r a e c h e n	VERB person=1st number=plural tense=past mood=subjunctive ; VERB person=3rd number=plural tense=past mood=subjunctive
e n t s p r a e c h e s t	VERB person=2nd number=singular tense=past mood=subjunctive
e n t s p r a e c h e t	VERB person=2nd number=plural tense=past mood=subjunctive
e n t s p r a e c h e	VERB person=1st number=singular tense=past mood=subjunctive ; VERB person=3rd number=singular tense=past mood=subjunctive
e n t s p r a c h s t	VERB person=2nd number=singular tense=past mood=indicative
e n t s p r a c h t	VERB person=2nd number=plural tense=past mood=indicative
e n t s p r a c h	VERB person=1st number=singular tense=past mood=indicative ; VERB person=3rd number=singular tense=past mood=indicative
e n t s p r a n g e n	VERB person=1st number=plural tense=past mood=indicative ; VERB person=3rd number=plural tense=past mood=indicative
e n t s p r a e n g e n	VERB person=1st number=plural tense=past mood=subjunctive ; VERB person=3rd number=plural tense=past mood=subjunctive
e n t s p r a e n g e s t	VERB person=2nd number=singular tense=past mood=subjunctive
e n t s p r a e n g e t	VERB person=2nd number=plural tense=past mood=subjunctive
e n t s p r a e n g e	VERB person=1st number=singular tense=past mood=subjunctive ; VERB person=3rd number=singular tense=past mood=subjunctive
e n t s p r a n g s t	VERB person=2nd number=singular tense=past mood=indicative
e n t s p r a n g t	VERB person=2nd number=plural tense=past mood=indicative
e n t s p r a n g	VERB person=1st number=singular tense=past mood=indicative ; VERB person=3rd number=singular tense=past mood=indicative
e n t s p r e c h e n d	VERB type=participle tense=present
e n t s p r e c h e n	VERB type=infinitive ; VERB person=1st number=plural tense=present mood=indicative ; VERB person=3rd number=plural tense=present mood=indicative ; VERB person=1st number=plural tense=present mood=subjunctive ; VERB person=3rd number=plural tense=present mood=subjunctive
e n t s p r e c h e s t	VERB person=2nd number=singular tense=present mood=subjunctive
e n t s p r e c h e t	VERB person=2nd number=plural tense=present mood=subjunctive
e n t s p r e c h e	VERB person=1st number=singular tense=present mood=indicative ; VERB person=1st number=singular tense=present mood=subjunctive ; VERB person=3rd number=singular tense=present mood=subjunctive
e n t s p r e c h t	VERB person=2nd number=plural tense=present mood=indicative
e n t s p r i c h s t	VERB person=2nd number=singular tense=present mood=indicative
e n t s p r i c h t	VERB person=3rd number=singular tense=present mood=indicative
e n t s p r i n g e n d	VERB type=participle tense=present
e n t s p r i n g e n	VERB type=infinitive ; VERB person=1st number=plural tense=present mood=indicative ; VERB person=3rd number=plural tense=present mood=indicative ; VERB person=1st number=plural tense=present mood=subjunctive ; VERB person=3rd number=plural tense=present mood=subjunctive
e n t s p r i n g e s t	VERB person=2nd number=singular tense=present mood=subjunctive
e n t s p r i n g e t	VERB person=2nd number=plural tense=present mood=subjunctive
e n t s p r i n g e	VERB person=1st number=singular tense=present mood=indicative ; VERB person=1st number=singular tense=present mood=subjunctive ; VERB person=3rd number=singular tense=present mood=subjunctive
e n t s p r i n g s t	VERB person=2nd number=singular tense=present mood=indicative
e n t s p r i n g t	VERB person=3rd number=singular tense=present mood=indicative ; VERB person=2nd number=plural tense=present mood=indicative
e n t s p r o c h e n	VERB type=participle tense=past
e n t s p r u n g e n	VERB type=participle tense=past
e n t s t a e n d e n	VERB person=1st number=plural tense=past mood=subjunctive ; VERB person=3rd number=plural tense=past mood=subjunctive
e n t s t a n d e n	VERB type=participle tense=past ; VERB person=1st number=plural tense=past mood=indicative ; VERB person=3rd number=plural tense=past mood=indicative
e n t s t a n d e s t	VERB person=2nd number=singular tense=past mood=indicative
e n t s t a e n d e s t	VERB person=2nd number=singular tense=past mood=subjunctive
e n t s t a n d e t	VERB person=2nd number=plural tense=past mood=indicative
e n t s t a e n d e t	VERB person=2nd number=plural tense=past mood=subjunctive
e n t s t a e n d e	VERB person=1st number=singular tense=past mood=subjunctive ; VERB person=3rd number=singular tense=past mood=subjunctive
e n t s t a n d	VERB person=1st number=singular tense=past mood=indicative ; VERB person=3rd number=singular tense=past mood=indicative
e n t s t e h e n d	VERB type=participle tense=present
e n t s t e h e n	VERB type=infinitive ; VERB person=1st number=plural tense=present mood=indicative ; VERB person=3rd number=plural tense=present mood=indicative ; VERB person=1st number=plural tense=present mood=subjunctive ; VERB person=3rd number=plural tense=present mood=subjunctive
e n t s t e h e s t	VERB person=2nd number=singular tense=present mood=subjunctive
e n t s t e h e t	VERB person=2nd number=plural tense=present mood=subjunctive
e n t s t e h e	VERB person=1st number=singular tense=present mood=indicative ; VERB person=1st number=singular tense=present mood=subjunctive ; VERB person=3rd number=singular tense=present mood=subjunctive
e n t s t e h s t	VERB person=2nd number=singular tense=present mood=indicative
e n t s t e h t	VERB person=3rd number=singular tense=present mood=indicative ; VERB person=2nd number=plural tense=present mood=indicative
e n t v o e l k e r e s t	VERB person=2nd number=singular tense=present mood=subjunctive
e n t v o e l k e r e t	VERB person=2nd number=plural tense=present mood=subjunctive
e n t v o e l k e r e	VERB person=1st number=singular tense=present mood=subjunctive ; VERB person=3rd number=singular tense=present mood=subjunctive
e n t v o e l k e r n d	VERB type=participle tense=present
e n t v o e l k e r n	VERB type=infinitive ; VERB person=1st number=plural tense=present mood=indicative ; VERB person=3rd number=plural tense=present mood=indicative ; VERB person=1st number=plural tense=present mood=subjunctive ; VERB person=3rd number=plural tense=present mood=subjunctive
e n t v o e l k e r s t	VERB person=2nd number=singular tense=present mood=indicative
e n t v o e l k e r t e n	VERB person=1st number=plural tense=past mood=indicative ; VERB person=3rd number=plural tense=past mood=indicative ; VERB person=1st number=plural tense=past mood=subjunctive ; VERB person=3rd number=plural tense=past mood=subjunctive
e n t v o e l k e r t e s t	VERB person=2nd number=singular tense=past mood=indicative ; VERB person=2nd number=singular tense=past mood=subjunctive
e n t v o e l k e r t e t	VERB person=2nd number=plural tense=past mood=indicative ; VERB person=2nd number=plural tense=past mood=subjunctive
e n t v o e l k e r t e	VERB person=1st number=singular tense=past mood=indicative ; VERB person=3rd number=singular tense=past mood=indicative ; VERB person=1st number=singular tense=past mood=subjunctive ; VERB person=3rd number=singular tense=past mood=subjunctive
e n t v o e l k e r t	VERB type=participle tense=past ; VERB person=3rd number=singular tense=present mood=indicative ; VERB person=2nd number=plural tense=present mood=indicative
e n t v o e l k r e	VERB person=1st number=singular tense=present mood=indicative
e n t w a f f n e n d	VERB type=participle tense=present
e n t w a f f n e n	VERB type=infinitive ; VERB person=1st number=plural tense=present mood=indicative ; VERB person=3rd number=plural tense=present mood=indicative ; VERB person=1st number=plural tense=present mood=subjunctive ; VERB person=3rd number=plural tense=present mood=subjunctive
e n t w a f f n e s t	VERB person=2nd number=singular tense=present mood=indicative ; VERB person=2nd number=singular tense=present mood=subjunctive
e n t w a f f n e t e n	VERB person=1st number=plural tense=past mood=indicative ; VERB person=3rd number=plural tense=past mood=indicative ; VERB person=1st number=plural tense=past mood=subjunctive ; VERB person=3rd number=plural tense=past mood=subjunctive
e n t w a f f n e t e s t	VERB person=2nd number=singular tense=past mood=indicative ; VERB person=2nd number=singular tense=past mood=subjunctive
e n t w a f f n e t e t	VERB person=2nd number=plural tense=past mood=indicative ; VERB person=2nd number=plural tense=past mood=subjunctive
e n t w a f f n e t e	VERB person=1st number=singular tense=past mood=indicative ; VERB person=3rd number=singular tense=past mood=indicative ; VERB person=1st number=singular tense=past mood=subjunctive ; VERB person=3rd number=singular tense=past mood=subjunctive
e n t w a f f n e t	VERB type=participle tense=past ; VERB person=3rd number=singular tense=present mood=indicative ; VERB person=2nd number=plural tense=present mood=indicative ; VERB person=2nd number=plural tense=present mood=subjunctive
e n t w a f f n e	VERB person=1st number=singular tense=present mood=indicative ; VERB person=1st number=singular tense=present mood=subjunctive ; VERB person=3rd number=singular tense=present mood=subjunctive
e n t w e n d e n d	VERB type=participle tense=present
e n t w e n d e n	VERB type=infinitive ; VERB person=1st number=plural tense=present mood=indicative ; VERB person=3rd number=plural tense=present mood=indicative ; VERB person=1st number=plural tense=present mood=subjunctive ; VERB person=3rd number=plural tense=present mood=subjunctive
e n t w e n d e s t	VERB person=2nd number=singular tense=present mood=indicative ; VERB person=2nd number=singular tense=present mood=subjunctive
e n t w e n d e t e n	VERB person=1st number=plural tense=past mood=indicative ; VERB person=3rd number=plural tense=past mood=indicative ; VERB person=1st number=plural tense=past mood=subjunctive ; VERB person=3rd number=plural tense=past mood=subjunctive
e n t w e n d e t e s t	VERB person=2nd number=singular tense=past mood=indicative ; VERB person=2nd number=singular tense=past mood=subjunctive
e n t w e n d e t e t	VERB person=2nd number=plural tense=past mood=indicative ; VERB person=2nd number=plural tense=past mood=subjunctive
e n t w e n d e t e	VERB person=1st number=singular tense=past mood=indicative ; VERB person=3rd number=singular tense=past mood=indicative ; VERB person=1st number=singular tense=past mood=subjunctive ; VERB person=3rd number=singular tense=past mood=subjunctive
e n t w e n d e t	VERB type=participle tense=past ; VERB person=3rd number=singular tense=present mood=indicative ; VERB person=2nd number=plural tense=present mood=indicative ; VERB person=2nd number=plural tense=present mood=subjunctive
e n t w e n d e	VERB person=1st number=singular tense=present mood=indicative ; VERB person=1st number=singular tense=present mood=subjunctive ; VERB person=3rd number=singular tense=present mood=subjunctive
e n t w i c k e l e s t	VERB person=2nd number=singular tense=present mood=subjunctive
e n t w i c k e l e t	VERB person=2nd number=plural tense=present mood=subjunctive
e n t w i c k e l e	VERB person=1st number=singular tense=present mood=subjunctive ; VERB person=3rd number=singular tense=present mood=subjunctive
e n t w i c k e l n d	VERB type=participle tense=present
e n t w i c k e l n	VERB type=infinitive ; VERB person=1st number=plural tense=present mood=indicative ; VERB person=3rd number=plural tense=present mood=indicative ; VERB person=1st number=plural tense=present mood=subjunctive ; VERB person=3rd number=plural tense=present mood=subjunctive
e n t w i c k e l s t	VERB person=2nd number=singular tense=present mood=indicative
e n t w i c k e l t e n	VERB person=1st number=plural tense=past mood=indicative ; VERB person=3rd number=plural tense=past mood=indicative ; VERB person=1st number=plural tense=past mood=subjunctive ; VERB person=3rd number=plural tense=past mood=subjunctive
e n t w i c k e l t e s t	VERB person=2nd number=singular tense=past mood=indicative ; VERB person=2nd number=singular tense=past mood=subjunctive
e n t w i c k e l t e t	VERB person=2nd number=plural tense=past mood=indicative ; VERB person=2nd number=plural tense=past mood=subjunctive
e n t w i c k e l t e	VERB person=1st number=singular tense=past mood=indicative ; VERB person=3rd number=singular tense=past mood=indicative ; VERB person=1st number=singular tense=past mood=subjunctive ; VERB person=3rd number=singular tense=past mood=subjunctive
e n t w i c k e l t	VERB type=participle tense=past ; VERB person=3rd number=singular tense=present mood=indicative ; VERB person=2nd number=plural tense=present mood=indicative
e n t w i c k l e	VERB person=1st number=singular tense=present mood=indicative
e n t w i c k l u n g s p o t e n z i a l e n	NOUN case=dative number=plural
e n t w i c k l u n g s p o t e n z i a l e	NOUN case=nominative number=plural ; NOUN case=genitive number=plural ; NOUN case=accusative number=plural
e n t w i c k l u n g s p o t e n z i a l	NOUN case=nominative number=singular ; NOUN case=dative number=singular ; NOUN case=accusative number=singular
e n t w i c k l u n g s p o t e n z i a l s	NOUN case=genitive number=singular
e n t z i f f e r e s t	VERB person=2nd number=singular tense=present mood=subjunctive
e n t z i f f e r e t	VERB person=2nd number=plural tense=present mood=subjunctive
e n t z i f f e r e	VERB person=1st number=singular tense=present mood=subjunctive ; VERB person=3rd number=singular tense=present mood=subjunctive
e n t z i f f e r n d	VERB type=participle tense=present
e n t z i f f e r n	VERB type=infinitive ; VERB person=1st number=plural tense=present mood=indicative ; VERB person=3rd number=plural tense=present mood=indicative ; VERB person=1st number=plural tense=present mood=subjunctive ; VERB person=3rd number=plural tense=present mood=subjunctive
e n t z i f f e r s t	VERB person=2nd number=singular tense=present mood=indicative
e n t z i f f e r t e n	VERB person=1st number=plural tense=past mood=indicative ; VERB person=3rd number=plural tense=past mood=indicative ; VERB person=1st number=plural tense=past mood=subjunctive ; VERB person=3rd number=plural tense=past mood=subjunctive
e n t z i f f e r t e s t	VERB person=2nd number=singular tense=past mood=indicative ; VERB person=2nd number=singular tense=past mood=subjunctive
e n t z i f f e r t e t	VERB person=2nd number=plural tense=past mood=indicative ; VERB person=2nd number=plural tense=past mood=subjunctive
e n t z i f f e r t e	VERB person=1st number=singular tense=past mood=indicative ; VERB person=3rd number=singular tense=past mood=indicative ; VERB person=1st number=singular tense=past mood=subjunctive ; VERB person=3rd number=singular tense=past mood=subjunctive
e n t z i f f e r t	VERB type=participle tense=past ; VERB person=3rd number=singular tense=present mood=indicative ; VERB person=2nd number=plural tense=present mood=indicative
e n t z i f f r e	VERB person=1st number=singular tense=present mood=indicative
e n t z u e n d u n g e n	NOUN case=nominative number=plural ; NOUN case=genitive number=plural ; NOUN case=dative number=plural ; NOUN case=accusative number=plural
e n t z u e n d u n g	NOUN case=nominative number=singular ; NOUN case=genitive number=singular ; NOUN case=dative number=singular ; NOUN case=accusative number=singular
e n t z w e i e n d	VERB type=participle tense=present
e n t z w e i e n	VERB type=infinitive ; VERB person=1st number=plural tense=present mood=indicative ; VERB person=3rd number=plural tense=present mood=indicative ; VERB person=1st number=plural tense=present mood=subjunctive ; VERB person=3rd number=plural tense=present mood=subjunctive
e n t z w e i e s t	VERB person=2nd number=singular tense=present mood=subjunctive
e n t z w e i e t	VERB person=2nd number=plural tense=present mood=subjunctive
e n t z w e i e	VERB person=1st number=singular tense=present mood=indicative ; VERB person=1st number=singular tense=present mood=subjunctive ; VERB person=3rd number=singular tense=present mood=subjunctive
e n t z w e i s t	VERB person=2nd number=singular tense=present mood=indicative
e n t z w e i t e n	VERB person=1st number=plural tense=past mood=indicative ; VERB person=3rd number=plural tense=past mood=indicative ; VERB person=1st number=plural tense=past mood=subjunctive ; VERB person=3rd number=plural tense=past mood=subjunctive
e n t z w e i t e s t	VERB person=2nd number=singular tense=past mood=indicative ; VERB person=2nd number=singular tense=past mood=subjunctive
e n t z w e i t e t	VERB person=2nd number=plural tense=past mood=indicative ; VERB person=2nd number=plural tense=past mood=subjunctive
e n t z w e i t e	VERB person=1st number=singular tense=past mood=indicative ; VERB person=3rd number=singular tense=past mood=indicative ; VERB person=1st number=singular tense=past mood=subjunctive ; VERB person=3rd number=singular tense=past mood=subjunctive
e n t z w e i t	VERB type=participle tense=past ; VERB person=3rd number=singular tense=present mood=indicative ; VERB person=2nd number=plural tense=present mood=indicative
e o s i n e n	NOUN case=dative number=plural
e o s i n e	NOUN case=nominative number=plural ; NOUN case=genitive number=plural ; NOUN case=accusative number=plural
e o s i n	NOUN case=nominative number=singular ; NOUN case=dative number=singular ; NOUN case=accusative number=singular
e o s i n s	NOUN case=genitive number=singular
e p i l i e r e n d	VERB type=participle tense=present
e p i l i e r e n	VERB type=infinitive ; VERB person=1st number=plural tense=present mood=indicative ; VERB person=3rd number=plural tense=present mood=indicative ; VERB person=1st number=plural tense=present mood=subjunctive ; VERB person=3rd number=plural tense=present mood=subjunctive
e p i l i e r e s t	VERB person=2nd number=singular tense=present mood=subjunctive
e p i l i e r e t	VERB person=2nd number=plural tense=present mood=subjunctive
e p i l i e r e	VERB person=1st number=singular tense=present mood=indicative ; VERB person=1st number=singular tense=present mood=subjunctive ; VERB person=3rd number=singular tense=present mood=subjunctive
e p i l i e r s t	VERB person=2nd number=singular tense=present mood=indicative
e p i l i e r t e n	VERB person=1st number=plural tense=past mood=indicative ; VERB person=3rd number=plural tense=past mood=indicative ; VERB person=1st number=plural tense=past mood=subjunctive ; VERB person=3rd number=plural tense=past mood=subjunctive
e p i l i e r t e s t	VERB person=2nd number=singular tense=past mood=indicative ; VERB person=2nd number=singular tense=past mood=subjunctive
e p i l i e r t e t	VERB person=2nd number=plural tense=past mood=indicative ; VERB person=2nd number=plural tense=past mood=subjunctive
e p i l i e r t e	VERB person=1st number=singular tense=past mood=indicative ; VERB person=3rd number=singular tense=past mood=indicative ; VERB person=1st number=singular tense=past mood=subjunctive ; VERB person=3rd number=singular tense=past mood=subjunctive
e p i l i e r t	VERB type=participle tense=past ; VERB person=3rd number=singular tense=present mood=indicative ; VERB person=2nd number=plural tense=present mood=indicative
e r b e n d	VERB type=participle tense=present
e r b e n	NOUN case=nominative number=plural ; NOUN case=genitive number=singular ; NOUN case=genitive number=plural ; NOUN case=dative number=singular ; NOUN case=dative number=plural ; NOUN case=accusative number=singular ; NOUN case=accusative number=plural ; VERB type=infinitive ; VERB person=1st number=plural tense=present mood=indicative ; VERB person=3rd number=plural tense=present mood=indicative ; VERB person=1st number=plural tense=present mood=subjunctive ; VERB person=3rd number=plural tense=present mood=subjunctive
e r b e	NOUN case=nominative number=singular ; VERB person=1st number=singular tense=present mood=indicative ; VERB person=1st number=singular tense=present mood=subjunctive ; VERB person=3rd number=singular tense=present mood=subjunctive
e r b e s t	VERB person=2nd number=singular tense=present mood=subjunctive
e r b e t	VERB person=2nd number=plural tense=present mood=subjunctive
e r b f o l g e n	NOUN case=nominative number=plural ; NOUN case=genitive number=plural ; NOUN case=dative number=plural ; NOUN case=accusative number=plural
e r b f o l g e	NOUN case=nominative number=singular ; NOUN case=genitive number=singular ; NOUN case=dative number=singular ; NOUN case=accusative number=singular
e r b r u e t e n d	VERB type=participle tense=present
e r b r u e t e n	VERB type=infinitive ; VERB person=1st number=plural tense=present mood=indicative ; VERB person=3rd number=plural tense=present mood=indicative ; VERB person=1st number=plural tense=present mood=subjunctive ; VERB person=3rd number=plural tense=present mood=subjunctive
e r b r u e t e s t	VERB person=2nd number=singular tense=present mood=indicative ; VERB person=2nd number=singular tense=present mood=subjunctive
e r b r u e t e t e n	VERB person=1st number=plural tense=past mood=indicative ; VERB person=3rd number=plural tense=past mood=indicative ; VERB person=1st number=plural tense=past mood=subjunctive ; VERB person=3rd number=plural tense=past mood=subjunctive
e r b r u e t e t e s t	VERB person=2nd number=singular tense=past mood=indicative ; VERB person=2nd number=singular tense=past mood=subjunctive
e r b r u e t e t e t	VERB person=2nd number=plural tense=past mood=indicative ; VERB person=2nd number=plural tense=past mood=subjunctive
e r b r u e t e t e	VERB person=1st number=singular tense=past mood=indicative ; VERB person=3rd number=singular tense=past mood=indicative ; VERB person=1st number=singular tense=past mood=subjunctive ; VERB person=3rd number=singular tense=past mood=subjunctive
e r b r u e t e t	VERB type=participle tense=past ; VERB person=3rd number=singular tense=present mood=indicative ; VERB person=2nd number=plural tense=present mood=indicative ; VERB person=2nd number=plural tense=present mood=subjunctive
e r b r u e t e	VERB person=1st number=singular tense=present mood=indicative ; VERB person=1st number=singular tense=present mood=subjunctive ; VERB person=3rd number=singular tense=present mood=subjunctive
e r b r u e t u n g e n	NOUN case=nominative number=plural ; NOUN case=genitive number=plural ; NOUN case=dative number=plural ; NOUN case=accusative number=plural
e r b r u e t u n g	NOUN case=nominative number=singular ; NOUN case=genitive number=singular ; NOUN case=dative number=singular ; NOUN case=accusative number=singular
e r b s t	VERB person=2nd number=singular tense=present mood=indicative
e r b t e n	VERB person=1st number=plural tense=past mood=indicative ; VERB person=3rd number=plural tense=past mood=indicative ; VERB person=1st number=plural tense=past mood=subjunctive ; VERB person=3rd number=plural tense=past mood=subjunctive
e r b t e s t	VERB person=2nd number=singular tense=past mood=indicative ; VERB person=2nd number=singular tense=past mood=subjunctive
e r b t e t	VERB person=2nd number=plural tense=past mood=indicative ; VERB person=2nd number=plural tense=past mood=subjunctive
